symbol,name,market_cap,volume_24h
BTCP,Bitcoin Private,1615981.9500404585,0.0
CLOAK,CloakCoin,1612717.2274975039,1130.4585746
XPM,Primecoin,1608941.1309774965,97.35013239
MIR,MIR COIN,1567869.300166856,24262.41545969
IDNA,Idena,1497456.5239591815,28814.97586943
DINGO,Dingocoin,1385182.4378967164,4362.94143845
CUT,CUTcoin,1377592.4268486316,0.0
NYC,NewYorkCoin,1375968.863609876,4082.30338135
BTCZ,BitcoinZ,1361011.0299196471,14897.13987702
WEBD,WebDollar,1333261.1086865354,203294.28348666
TRUE,TrueChain,1322912.751272151,5451.82970146
CMT,CyberMiles,1303286.0519651473,6672.957349
ADM,ADAMANT Messenger,1298903.7845087277,0.0
GLEEC,Gleec Coin,1266221.2715399053,880509.89983633
